pathway,overlap,gene_set_size,pathway_size,p_value
NEGATIVE REGULATION OF CELL CYCLE,6,191,59,0.06667994860284328
NEGATIVE REGULATION OF PHOSPHORYLATION,6,191,59,0.06667994860284328
LIPID HOMEOSTASIS,5,191,45,0.06681174689849174
RESPONSE TO ORGANOPHOSPHORUS,5,191,45,0.06681174689849174
STEROID METABOLIC PROCESS,8,191,89,0.06801934221736083
NEGATIVE REGULATION OF BONE MINERALIZATION,2,191,9,0.06842465745631543
REGULATION OF PROTEIN AUTOPHOSPHORYLATION,2,191,9,0.06842465745631543
MODIFIED AMINO ACID TRANSPORT,2,191,9,0.06842465745631543
HEPATOCYTE DIFFERENTIATION,2,191,9,0.06842465745631543
SENSORY PERCEPTION OF TASTE,2,191,9,0.06842465745631543
POSITIVE REGULATION OF AMINO ACID TRANSPORT,2,191,9,0.06842465745631543
CHEMICAL SYNAPTIC TRANSMISSION POSTSYNAPTIC,4,191,32,0.06864599913831082
NEGATIVE REGULATION OF MITOTIC CELL CYCLE,4,191,32,0.06864599913831082
MITOTIC NUCLEAR DIVISION,4,191,32,0.06864599913831082
LIPID CATABOLIC PROCESS,6,191,60,0.07121577960148107
NEGATIVE REGULATION OF MITOTIC CELL CYCLE PHASE TRANSITION,3,191,20,0.0713342250118241
ISOPRENOID METABOLIC PROCESS,3,191,20,0.0713342250118241
REGULATION OF MITOTIC CELL CYCLE PHASE TRANSITION,5,191,46,0.0721204913931234
RESPONSE TO CAMP,4,191,33,0.07525631520829527
LYMPHOCYTE MEDIATED IMMUNITY,8,191,91,0.07544062446992959
REGULATION OF BIOMINERAL TISSUE DEVELOPMENT,5,191,47,0.07765429439069588
NEGATIVE REGULATION OF VIRAL PROCESS,3,191,21,0.08033996613125038
EXPORT ACROSS PLASMA MEMBRANE,3,191,21,0.08033996613125038
RESPONSE TO KETONE,7,191,77,0.08091098651546758
L GLUTAMATE TRANSMEMBRANE TRANSPORT,2,191,10,0.08284565236857723
MULTICELLULAR ORGANISMAL LEVEL WATER HOMEOSTASIS,2,191,10,0.08284565236857723
REGULATION OF CYCLIN DEPENDENT PROTEIN SERINE THREONINE KINASE ACTIVITY,2,191,10,0.08284565236857723
INTESTINAL ABSORPTION,2,191,10,0.08284565236857723
HUMORAL IMMUNE RESPONSE MEDIATED BY CIRCULATING IMMUNOGLOBULIN,2,191,10,0.08284565236857723
SECRETORY GRANULE LOCALIZATION,2,191,10,0.08284565236857723
SPERM FLAGELLUM ASSEMBLY,2,191,10,0.08284565236857723
ICOSANOID SECRETION,2,191,10,0.08284565236857723
ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS,8,191,93,0.08333370717901961
